0	32	24
0	-32	24
0	-48	12
0	16	-8
-40	-14	4
-60	-14	4
-36	8	56
-36	16	-4
-36	-8	-4
-24	-24	56
-44	-48	20
-44	-64	28
-8	-64	54
-28	-56	54
-48	32	12
-48	36	32
-8	36	40
-8	48	20
-24	44	-20
-24	64	4
-48	32	-8
-28	-16	-16
-28	0	60
-4	0	60
-44	4	24
-16	-28	4
-40	-28	64
-56	-16	16
-64	-24	-12
-64	-24	-24
-52	12	-28
-52	-4	-8
-32	-28	-28
-8	-8	4
-4	-84	-4
-4	-96	8
-20	-88	20
-20	-84	-12
40	-14	4
60	-14	4
36	8	56
36	16	-4
36	-8	-4
24	-24	56
44	-48	20
44	-64	28
8	-64	54
28	-56	54
48	32	12
48	36	32
8	36	40
8	48	20
24	44	-20
24	64	4
48	32	-8
28	-16	-16
28	0	60
4	0	60
44	4	24
16	-28	4
40	-28	64
56	-16	16
64	-24	-12
64	-24	-24
52	12	-28
52	-4	-8
32	-28	-28
8	-8	4
4	-84	-4
4	-96	8
20	-88	20
20	-84	-12
-12	-52	-24
-30	-55	-49
-36	-46	-26
-45	-45	-32
12	-52	-24
30	-55	-49
36	-46	-26
45	-45	-32

